Stage alignment:[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11]].
Total Constraints within Device:69336, Redundant Constraints:1296.
Gurobi Solver Solving...
Result Found Cost: 575.00.
MinExeTime:1682.0.
f_9_9,255.0.
b_9_9,635.0.
w_9_9,1001.0.
f_10_9,309.0.
b_10_9,667.0.
w_10_9,1059.0.
f_11_9,341.0.
b_11_9,705.0.
w_11_9,1077.0.
f_12_9,353.0.
b_12_9,737.0.
w_12_9,1115.0.
f_13_9,365.0.
b_13_9,781.0.
w_13_9,1193.0.
f_14_9,403.0.
b_14_9,801.0.
w_14_9,1255.0.
f_15_9,415.0.
b_15_9,827.0.
w_15_9,1333.0.
f_16_9,463.0.
b_16_9,847.0.
w_16_9,1379.0.
f_17_9,475.0.
b_17_9,879.0.
w_17_9,1385.0.
f_18_9,527.0.
b_18_9,911.0.
w_18_9,1451.0.
f_19_9,539.0.
b_19_9,931.0.
w_19_9,1457.0.
f_20_9,553.0.
b_20_9,957.0.
w_20_9,1463.0.
f_21_9,605.0.
b_21_9,1007.0.
w_21_9,1469.0.
f_22_9,623.0.
b_22_9,1027.0.
w_22_9,1475.0.
f_23_9,655.0.
b_23_9,1095.0.
w_23_9,1481.0.
f_24_9,867.0.
b_24_9,1121.0.
w_24_9,1487.0.
f_25_9,899.0.
b_25_9,1141.0.
w_25_9,1493.0.
f_26_9,977.0.
b_26_9,1173.0.
w_26_9,1499.0.
f_27_9,989.0.
b_27_9,1223.0.
w_27_9,1505.0.
f_28_9,1047.0.
b_28_9,1261.0.
w_28_9,1511.0.
f_29_9,1065.0.
b_29_9,1281.0.
w_29_9,1517.0.
f_30_9,1083.0.
b_30_9,1313.0.
w_30_9,1523.0.
f_31_9,1161.0.
b_31_9,1339.0.
w_31_9,1529.0.
f_32_9,1199.0.
b_32_9,1359.0.
w_32_9,1535.0.
f_33_9,1211.0.
b_33_9,1391.0.
w_33_9,1541.0.
f_34_9,1243.0.
b_34_9,1411.0.
w_34_9,1547.0.
f_35_9,1301.0.
b_35_9,1431.0.
w_35_9,1676.0.
f_0_10,130.0.
b_0_10,190.0.
w_0_10,238.0.
f_1_10,142.0.
b_1_10,268.0.
w_1_10,320.0.
f_2_10,154.0.
b_2_10,300.0.
w_2_10,382.0.
f_3_10,166.0.
b_3_10,338.0.
w_3_10,440.0.
f_4_10,178.0.
b_4_10,400.0.
w_4_10,478.0.
f_5_10,210.0.
b_5_10,420.0.
w_5_10,552.0.
f_6_10,226.0.
b_6_10,458.0.
w_6_10,590.0.
f_7_10,244.0.
b_7_10,508.0.
w_7_10,616.0.
f_8_10,256.0.
b_8_10,558.0.
w_8_10,634.0.
f_9_10,288.0.
b_9_10,596.0.
w_9_10,748.0.
f_10_10,326.0.
b_10_10,640.0.
w_10_10,754.0.
f_11_10,358.0.
b_11_10,684.0.
w_11_10,1034.0.
f_12_10,370.0.
b_12_10,716.0.
w_12_10,1142.0.
f_13_10,388.0.
b_13_10,760.0.
w_13_10,1168.0.
f_14_10,446.0.
b_14_10,780.0.
w_14_10,1186.0.
f_15_10,484.0.
b_15_10,806.0.
w_15_10,1268.0.
f_16_10,496.0.
b_16_10,826.0.
w_16_10,1326.0.
f_17_10,528.0.
b_17_10,846.0.
w_17_10,1372.0.
